Timestamp,In Game Name,Discord or Facebook Name,Friend Code Only (Copy/Paste from in game),What areas do you primarily play in?,Team
8/27/2018 18:52:27,ChelsieCatcher,ChelsieCatcher,4785 8627 4237!,"Mad Far West, Mad Near West, Fitchburg",Mystic
9/26/2018 23:05:41,ChimFaceMcgee,StepsAndNumbers,8167 1138 2980,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North",Instinct
10/25/2018 9:22:37,Chinabotter ,Notadoctor #2458,964805654176,"Mad Far East, Sun Prairie",Instinct
8/22/2018 17:07:51,Chinaski35,Chinaski81,857884145281,"Fitchburg, Monona, Sun Prairie",Instinct
6/26/2018 21:26:30,ChipsterChippy,Schaynna Olund,4662 9910 3054,"Mad Near East, McFarland, Monona",Valor
8/22/2018 9:37:11,ChronoTalon,ChronoTalon,4760 5463 8258,Mad Campus,Instinct
9/15/2018 14:44:47,Chyeah54,Chyeah54,5302 3239 1230,McFarland,Valor
11/17/2018 15:49:33,Claymore1307,claymore1307,3149 3577 8593,"Mad Far West, Mad Near West, Epic, Fitchburg, Verona",Valor
9/12/2018 18:17:19,CoinChart828362,CoinChart828362,651173465125,Mad Near West,Valor
7/27/2018 12:16:59,CorbachToolis,Corby ,5741 6633 8323,"Mad Campus, Mad North, Mad Far West",Mystic
9/22/2018 17:19:58,Courtnett,Courtnett,5457 7698 8007,"Mad Far West, Fitchburg",Valor
9/9/2018 16:36:24,Cr8rG8r,Andrew Little,6296 5098 5381,"Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Cottage Grove, Monona",Instinct
8/23/2018 16:29:19,Crazenne,Sin Ruow Tey,4708 9813 7248,Mad Campus,Mystic
11/6/2018 15:19:50,CrunchyLogan,Robwi,9486 7586 4911,Dodgeville,Mystic
2/8/2019 16:37:42,CrymsinB,Crimsonb86,2126 6132 5368,"Mad Far West, Mad Near West, Middleton",Valor
4/7/2019 11:31:05,CrymsinB,Basil Hopp Jr,2126 6132 5368,"Mad Far West, Middleton, Stoughton",Valor
9/16/2018 16:54:56,Crystalcyy,Crystalcyy,2643 4322 3818,"Mad Campus, Mad Near West",Mystic
9/12/2018 22:22:40,cudlife10,Omar Tecalero,6972 2784 9059,"Mad Far East, Mad Near East, McFarland, Monona",Mystic
6/26/2018 22:38:16,CuteFaceCute,Lisagrue,2391 8277 9053,"Mad Campus, Mad Far West, Mad Near West",Valor
7/11/2018 21:00:17,Cyndrla,Cindy Ebsen ,0028 2341 0425,"Mad North East, Mad North, DeForest / Windsor",Mystic
3/23/2019 22:36:24,czimmerman7,Juice4Less,3242 3391 4557,Mad Campus,Valor
8/21/2018 22:15:15,D4rthcr4nk ,Darthcrank ,4758 7587 0582,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Oregon",Mystic
10/11/2018 21:52:05,DabbinApples,Abomb,6144 2708 3221,Mad Campus,Instinct
9/3/2018 12:44:51,Daboyblastoise,Daboyblastoise,2908 0074 8197,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Mad Far West, Mad Near West, Cottage Grove, DeForest / Windsor, Epic, Fitchburg, Janesville, McFarland, Middleton, Monona, Mt. Horeb, Oregon, Stoughton, Sun Prairie, Verona, Waunakee",Valor
6/28/2018 18:28:44,dadamena,dadamena,3548 1635 0658,"Mad North East, Mad North",Mystic
8/21/2018 20:35:52,DAKKEND0,Dakkendo,5050 1402 3704,"Mad Far East, Mad Near East, Mad North East, Mad North, Cottage Grove, Monona",Mystic
8/4/2018 11:40:39,dan.sd88,Dan88CV,6031 4186 1788,"Mad Campus, Mad Isthmus, Mad Near West",Mystic
8/21/2018 9:44:05,Danamight,Danamight,3230 2081 1006,"Mad Near East, Epic",Mystic
1/18/2019 16:17:44,DangerKS,danger,3020 6072 1169,"Mad Far East, Sun Prairie",Instinct
1/18/2019 16:19:22,DangerKS,danger,3020 6072 1169,"Mad Near East, Sun Prairie, QBE",Instinct
1/18/2019 16:19:31,DangerKS,danger,3020 6072 1169,"Mad Near East, Sun Prairie, QBE",Instinct
1/18/2019 16:19:34,DangerKS,danger,3020 6072 1169,"Mad Near East, Sun Prairie, QBE",Instinct
8/8/2018 14:44:40,dangertitssss,dangertits,628459320645,"Mad Isthmus, Mad Far East, Mad Near East",Valor
12/14/2018 15:25:48,DankMemerCDXX,ForgotThyPassword,7284 9651 5736,Mad Campus,Instinct
12/14/2018 0:48:28,Darkbloodshed ,Darkbloodshed ,5329 5445 1279,"Mad Far West, Mad Near West, Fitchburg, Middleton",Mystic
12/31/2018 11:50:19,DarkGraffix,GraffixOwO,998891336467,Sun Prairie,Mystic
7/6/2018 9:13:32,DarMonkey,DarMonkey,0227 9919 8329,"Mad Campus, Mad Isthmus, Mad Near East, Monona",Instinct
8/26/2018 7:59:48,daveydave400,daveydave400,7115 1055 1393,"Mad Campus, Mad Near West",Mystic
8/31/2018 16:18:11,David24thenoob,David24thenoob,6847 5687 2921,Mad Campus,Valor
7/25/2018 11:08:36,DawnDe,Dawn Denman,2684 0170 8867,"Mad Near West, Sun Prairie, Reedsburg,Baraboo,Lake Delton/Dells",Instinct
6/26/2018 15:13:14,daxun,kongx143,8205 8867 5788,"Mad Campus, Mad Near West",Mystic
3/6/2019 7:53:09,Dazzle161,Dazzle161,992631678624,"Mad Far East, Mad North East",Valor
9/17/2018 8:11:38,DeadTired1,DeadTired1,2887 9602 2767,"Mad Far East, Mad Near East, Monona, Sun Prairie, Fall River, Columbus, and Beaver Dam ",Mystic
6/30/2018 0:04:57,Debc1961,Debcutler,139603621237,"Beloit, Monroe",Instinct
8/27/2018 12:34:16,DerekDahuhu ,Derek_huhu,8485 1647 5466,Mad Campus,Instinct
6/28/2018 23:30:10,Despotik,Despotik,7655 3989 2979,"Mad Far East, DeForest / Windsor, Sun Prairie, Waunakee",Instinct
12/7/2018 10:59:27,Dilandou05,sonofmorphews,003074579032,"Mad Campus, Mad Far East, Mad Near East, Mad Far West, Mad Near West",Mystic
6/28/2018 12:13:36,Dirge64,Dirge64,4787 8079 4271,"Mad Far West, Mad Near West, Fitchburg, Middleton",Valor
1/1/2019 11:45:13,Distantg150,Rikki Blonski,9712 8157 3628,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Mad Far West, Mad Near West, Middleton, Verona",Valor
1/1/2019 11:48:14,Distantg150,Rikki Blonski,9712 8157 3628,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Mad Far West, Mad Near West, Middleton, Verona",Valor
8/20/2018 20:57:17,DJBobE,DJBobE,958414913252,"Mad Isthmus, Fitchburg",Mystic
7/2/2018 8:10:29,DJBrG1,Timothy Briggs,7716 0325 8895,"Mad Far East, Mad Near East",Mystic
8/12/2018 21:34:53,djfunk94,Dan Funk,281797448376,"Mad Campus, Mad Isthmus",Instinct
7/16/2018 15:13:09,DKinkajou,OkWizard,4305 6078 9418,"Monona, Sun Prairie",Instinct
7/12/2018 1:23:51,DKMelee,DK Rosé,1917 2637 0443,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North, Mad South, McFarland, Middleton, Monona, Stoughton",Valor
7/12/2018 1:24:22,DKMelee,DK Rosé,1917 2637 0443,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North, Mad South, McFarland, Middleton, Monona, Stoughton",Valor
8/21/2018 20:54:49,dNeko8,dNeko,9215 2258 1471,"Mad Campus, Mad Far West, Mad Near West, Middleton",Valor
10/13/2018 9:03:30,dodkalm,dodkalm#4396,9833 5598 3557,"Mad Isthmus, Mad Near East, Mad North",Valor
7/31/2018 10:55:39,Dogcopter3,TacoNinja,322764401681,"Mad Campus, Mad Isthmus",Mystic
9/10/2018 11:49:24,Donyatsu,GrimKeep,8260 8715 8837,Mad Campus,Valor
7/27/2018 11:02:31,dragoone1111,dragoone1111,2226 7219 5183,"Mad Near East, Mad South, Fitchburg, Monona",Mystic
2/24/2019 7:19:13,Driftlessroots,driftlessroots,4244 8767 5460,"Mad Far West, Mad Near West",Mystic
8/26/2018 21:22:08,DrMander,DrMander,7676 1706 7582,"Mad Isthmus, Fitchburg",Mystic
8/22/2018 19:09:10,Drousy,Drousy,7072 4529 4550,"Mad South, Mad Far West, Mad Near West, Fitchburg, Middleton, Monona, Verona",Mystic
9/10/2018 21:56:39,drstrangest25,drstrangest25,8606 5240 2621,"Mad Campus, Verona",Mystic
9/18/2018 11:38:20,Drummerz20,Crispr,9618 8499 8269,"Mad Campus, Monona",Mystic
8/25/2018 11:37:24,DsGetPharmDs,DsGetPharmDs,8755 7963 9365,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Mad Near West",Instinct
8/22/2018 15:53:53,Dthrttl,Dthrttl ,9675 2683 8347,"Fitchburg, McFarland, Monona",Valor
12/28/2018 15:00:15,Dubmon3187,ddub6607,2280 2520 6495,"Mad Far East, Mad Near East, Mad North East, Mad North, Monona",Valor
6/26/2018 17:26:44,Ducky197114,Ducky197114,8325 9612 7199,"Mad Campus, Mad Far East, Mad Near East, Mad North East, Mad North",Valor
8/13/2018 21:13:15,Dwyndel,Dwyndel,7700 7459 3156,"Mad Campus, Middleton",Valor
10/19/2018 12:35:14,DyslexicIronnam,Rooks,7245 4584 8035,"Mad Far West, Mad Near West, Middleton, Sun Prairie, Verona",Instinct
9/8/2018 21:24:49,E777Chi,E777Chi,4571 9683 7822,"Mad Far East, Mad North East, Mad North",Mystic
8/14/2018 13:46:32,Edgard1394,Edgard94,4809 2727 0093,"Mad Campus, Mad Far East, anywhere ",Instinct
2/6/2019 7:36:28,egiuseppe,egiuseppe,814489772289,"Mad Isthmus, Mad Near East",Mystic
6/27/2018 13:01:54,Electrophyte,Electrophyte,1879 0227 4411,"Mad Campus, Fitchburg",Instinct
6/26/2018 19:44:26,Elementia,Olivia,3645 6778 8657,"Mad North, DeForest / Windsor, Middleton, Sun Prairie, Waunakee",Mystic
6/26/2018 16:36:33,Elfinmagical1,Lynda Finn,2813 6446 4866,"Mad Near East, Monona",Instinct
7/2/2018 15:55:09,Elliottrjdhdhs,Star_Rock_Panda,3761596825,"Mad Far East, Mad Near East, Sun Prairie",Instinct
9/25/2018 21:33:34,EmeraldOsprey,KindaNerdyHousewife,850540575554,Mad Far West,Mystic
8/31/2018 18:32:40,Emv0890,Emily Dominguez,7330 3830 2635,"Mad South, Fitchburg",Mystic
6/26/2018 21:52:47,Eobardthawne2,Eobardthawne2,2124 6406 1028,"Mad Far West, Mad Near West, Middleton, Verona",Mystic
11/5/2018 2:43:18,Ermahur,PrettyPug,5587 7358 7253,Stoughton,Valor
6/26/2018 21:23:04,Esyrj,Esyrj,4337 2743 0615,"Mad Campus, Mad South, Fitchburg, Middleton",Mystic
9/17/2018 12:01:35,EthanStrauberry,Strauberry#4285,3315 2945 5177,"Mad Campus, Mad Isthmus, Mad Near East",Instinct
4/15/2019 12:44:30,evfam2008,Ericka Louise,2519 2855 9466,Poynette,Valor
4/15/2019 14:03:35,Ezmagigi,Sarah Gagnon,2368 1368 1963,"Mad Campus, Mad Near East, Monona",Valor
8/24/2018 18:10:58,F8MNable2change,MorganUkenhandel,9370 3009 0795,"Mad Campus, Mad Near East",Valor
10/3/2018 16:16:38,FangAndTalon,FangAndTalon,8025 8721 4552,"Mad Campus, Mad Isthmus",Valor
12/29/2018 21:26:01,FireWieldingFury,Elizabeth Strand,112030432635,"Mad Near West, Sun Prairie",Valor
8/21/2018 18:22:51,FluffyTheMad,FluffyTheMad,724160644870,"Mad Isthmus, Mad Far East, Mad Near East, Monona",Instinct
7/23/2018 10:22:40,Fragedurmom ,Discord Fragedurmom,1588 7442 7850,"Fitchburg, McFarland, Monona, Cambridge",Instinct
8/3/2018 8:45:42,FrankieTamiLane,Frankie,3125 8319 2938,"Mad Isthmus, Mad Far West, Mad Near West, Verona",Mystic
8/24/2018 6:19:53,Friendminusr389,Friendminusr,0933 6703 1617,"Mad Campus, Mad Isthmus",Instinct
6/26/2018 18:29:18,FrostingQueen,Kristin Rokus,5563 1808 9873,"Mad Far West, Mad Near West",Valor
9/15/2018 18:41:27,Frotchee,Mfricano,5945 2750 2169,"Mad Far West, Mad Near West, Waunakee",Mystic
8/10/2018 19:02:55,FruityShuffles,Chainfire,550758409400,Mad Near West,Mystic
10/1/2018 10:16:10,Fupatown,Fupatown,5864 3275 9276!,"Middleton, Sauk City",Mystic
7/17/2018 8:28:00,Gamroth93,Gregory93,9752 2230 6379,Mad South,Mystic
10/18/2018 19:17:43,Gangstagordy ,Kade,1866 5857 0275,"Mad Campus, Wausau",Mystic
9/15/2018 18:47:07,GaryCroak,GaryCroak,7260 4616 5253,"Mad Campus, Mad Isthmus",Valor
4/13/2019 11:10:49,GBikekachu,GBike,8290 8255 8151,"Mad Campus, Mad Far West, Middleton",Valor
7/29/2018 4:44:50,Gecko0,Gecko0#0616,993362135256,"Mad Isthmus, Mad Far East, Mad Near East, Mad North East",Instinct
11/28/2018 10:58:34,GenerativeAmp,Gaijin,5758 9617 0642,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Middleton",Valor
4/13/2019 13:09:05,GenGaylenShaw,See above,4749 7715 1570,"Middleton, Monona, Stoughton, Sun Prairie, Often visit southern region of Midwest",Mystic
4/13/2019 13:09:20,GenGaylenShaw,See above,4749 7715 1570,"Middleton, Monona, Stoughton, Sun Prairie, Often visit southern region of Midwest",Mystic
7/3/2018 1:48:08,Gentrey,Gentrey,4752 8928 5942,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Cottage Grove, DeForest / Windsor, Monona, Sun Prairie",Instinct
7/1/2018 20:15:48,Ghnbef,Gavin Knight,2895 6296 1437,Oregon,Valor
6/30/2018 10:19:27,GlassSpynix,Christine Sponem,7250 8784 6728,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North",Valor
4/13/2019 19:56:07,GlitteryGrizzly,saltyrainbowlord,545341999661,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad Far West, Mad Near West, Fitchburg, Verona",Instinct
9/29/2018 16:49:32,Gluffinx100,Joshua Ludke,6786 9509 2203,"Mad Far West, Mt. Horeb",Instinct
1/14/2019 15:08:38,GoRager10,Quadeq (discord),0688 0854 3442,"Mad Isthmus, Mad Near East, Mad North East, McFarland",Valor
1/26/2019 10:26:45,Gordante34,Gordante,3360 2369 8482,"Mad Isthmus, Mad Far East, Mad Near East, McFarland",Valor
7/23/2018 12:46:32,GPBSLEE,GPBSXT,8886 1460 0020,"Mad Campus, Mad Isthmus, Mad Near West",Valor
7/23/2018 12:46:02,GPBSXT,GPBSXT,8494 7312 9098,"Mad Campus, Mad Isthmus, Mad Near West",Valor
4/3/2019 9:17:09,GreggTurkington,Dave Bieranoski,7822 8151 1867,"Mad Isthmus, Mad Near West, Epic",Instinct
6/26/2018 19:53:18,Gslug6,Gslug6,7685 1988 4638,"Mad Campus, Mad Far West, Mad Near West, Middleton",Mystic
7/1/2018 13:06:50,Gurtron,Gurtron,5141 7201 4032,"Mad Campus, Mad Isthmus, Mad Near East",Mystic
